City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Klyuchi,52.2667,79.1667,-1.37,68,100,4.41,RU,1699297927
1,College,64.8569,-147.8028,-7.03,88,100,0.0,US,1699297927
2,Lagoa Vermelha,-28.2086,-51.5258,24.61,56,0,0.39,BR,1699297928
3,Adamstown,-25.066,-130.1015,22.95,78,100,7.04,PN,1699297928
4,Yung Shue Wan,22.2333,114.1167,26.46,58,12,3.74,HK,1699297928
5,Arraial do Cabo,-22.9661,-42.0278,22.43,66,3,6.18,BR,1699297765
6,Laojunmiao,39.8333,97.7333,0.07,39,100,1.75,CN,1699297928
7,Grytviken,-54.2811,-36.5092,2.99,87,61,0.37,GS,1699297928
8,Coahuayana de Hidalgo,18.7,-103.6583,32.3,51,20,1.73,MX,1699297929
9,San Patricio,28.017,-97.5169,30.92,44,100,5.95,US,1699297929
10,Onega,63.9061,38.1404,0.78,98,100,2.15,RU,1699297929
11,Ad Dabbah,18.05,30.95,31.06,21,0,3.94,SD,1699297929
12,Taoudenni,22.6783,-3.9836,31.56,14,5,3.65,ML,1699297929
13,Isafjordur,66.0755,-23.124,0.8,88,100,8.39,IS,1699297930
14,Tangalle,6.024,80.7911,24.09,89,99,1.29,LK,1699297930
15,Minas de Marcona,-15.2119,-75.1103,20.3,56,25,7.43,PE,1699297785
16,Puerto Ayora,-0.7393,-90.3518,25.31,92,96,4.92,EC,1699297930
17,Blackmans Bay,-43.0167,147.3167,9.18,91,98,1.98,AU,1699297930
18,Ushuaia,-54.8,-68.3,13.79,58,75,6.69,AR,1699297887
19,Colby,39.3958,-101.0524,18.51,41,0,4.63,US,1699297931
20,Tiksi,71.6872,128.8694,-23.97,98,83,3.27,RU,1699297931
21,Zhengjiatun,43.5064,123.5064,-10.89,84,40,5.23,CN,1699297931
22,Voinjama,8.4219,-9.7478,21.49,97,31,2.32,LR,1699297931
23,Alpu,39.769,30.9606,10.15,60,0,1.87,TR,1699297932
24,Topaowan,30.67,112.6895,13.03,48,0,1.63,CN,1699297932
25,Whitehorse,60.7161,-135.0538,-1.57,87,75,6.71,CA,1699297932
26,Invercargill,-46.4,168.35,8.34,92,97,0.45,NZ,1699297933
27,Justo Daract,-33.8594,-65.1828,33.84,22,0,7.75,AR,1699297933
28,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-4.75,72,0,4.47,RU,1699297933
29,Kavaratti,10.5669,72.642,28.37,74,86,3.24,IN,1699297933
30,Olonkinbyen,70.9221,-8.7187,-0.64,69,100,7.65,SJ,1699297934
31,Laguna,38.421,-121.4238,21.7,71,20,5.66,US,1699297934
32,Komatsu,36.4026,136.4509,14.9,90,100,6.62,JP,1699297934
33,Grand Gaube,-20.0064,57.6608,24.22,75,87,1.34,MU,1699297935
34,La Santisima Trinidad,-14.8333,-64.9,41.71,20,100,2.44,BO,1699297936
35,Bethel,41.3712,-73.414,12.51,63,0,4.12,US,1699297936
36,Broken Hill,-31.95,141.4333,21.03,52,1,6.44,AU,1699297936
37,West Island,-12.1568,96.8225,25.99,78,40,6.17,CC,1699297936
38,Port-aux-Français,-49.35,70.2167,1.73,69,26,16.9,TF,1699297937
39,Iqaluit,63.7506,-68.5145,-9.15,78,75,5.66,CA,1699297937
40,Naryan-Mar,67.6713,53.087,1.73,100,100,8.94,RU,1699297937
41,Chibougamau,49.9168,-74.3659,-4.21,68,100,5.14,CA,1699297937
42,Aasiaat,68.7098,-52.8699,-10.94,86,100,2.79,GL,1699297937
43,Flying Fish Cove,-10.4217,105.6791,25.82,88,100,3.09,CX,1699297938
44,Edinburgh of the Seven Seas,-37.0676,-12.3116,15.22,98,100,11.11,SH,1699297938
45,Margaret River,-33.95,115.0667,14.43,82,49,5.07,AU,1699297938
46,Hancheng,32.5186,112.3522,10.93,61,0,2.09,CN,1699297939
47,Koné,-21.0595,164.8658,19.81,81,75,2.27,NC,1699297939
48,Baraboo,43.4711,-89.7443,20.08,52,0,8.23,US,1699297939
49,Papatowai,-46.5619,169.4708,9.51,81,100,2.37,NZ,1699297940
50,Coquimbo,-29.9533,-71.3436,17.85,67,75,4.63,CL,1699297397
51,Port Elizabeth,-33.918,25.5701,17.4,94,100,0.89,ZA,1699297940
52,Pingliang,35.5392,106.6861,4.49,51,3,1.2,CN,1699297940
53,Guarapari,-20.6667,-40.4975,23.83,66,0,5.42,BR,1699297940
54,Águas Vermelhas,-15.7472,-41.46,22.61,79,100,2.59,BR,1699297941
55,Waitangi,-43.9535,-176.5597,12.12,96,100,2.68,NZ,1699297895
56,Puerto Natales,-51.7236,-72.4875,13.25,44,40,10.8,CL,1699297690
57,Hawaiian Paradise Park,19.5933,-154.9731,25.49,91,40,1.54,US,1699297941
58,New Norfolk,-42.7826,147.0587,9.84,98,83,1.21,AU,1699297941
59,Dudinka,69.4058,86.1778,-20.71,100,91,2.66,RU,1699297941
60,Bikenibeu Village,1.3673,173.1241,27.98,83,75,3.09,KI,1699297942
61,Sabang,5.8933,95.3214,27.7,74,70,1.11,ID,1699297942
62,La Sarre,48.8002,-79.1996,-1.57,97,100,5.89,CA,1699297942
63,Bamboo Flat,11.7,92.7167,27.39,82,100,1.59,IN,1699297942
64,Ribeira Grande,38.5167,-28.7,18.22,63,40,7.6,PT,1699297942
65,Lerwick,60.1545,-1.1494,9.0,86,100,3.62,GB,1699297787
66,The Pas,53.8251,-101.2541,-2.08,64,94,3.48,CA,1699297881
67,Albany,42.6001,-73.9662,10.85,52,100,0.45,US,1699297775
68,Adam,22.3756,57.5233,26.37,53,73,6.45,OM,1699297943
69,Kingston,17.997,-76.7936,30.12,59,100,1.38,JM,1699297679
70,Saint-Philippe,-21.3585,55.7679,20.62,82,98,4.85,RE,1699297943
71,Betioky,-23.7167,44.3833,21.86,84,6,1.82,MG,1699297944
72,Ocean Shores,46.9737,-124.1563,10.57,97,100,3.6,US,1699297944
73,Crane,31.3974,-102.3501,27.71,21,0,3.52,US,1699297944
74,Shenjiamen,29.9576,122.298,15.39,46,0,6.78,CN,1699297944
75,Nemuro,43.3236,145.575,15.3,96,100,14.73,JP,1699297944
76,Ulladulla,-35.35,150.4667,12.48,86,22,2.38,AU,1699297945
77,East London,-33.0153,27.9116,20.18,95,100,3.5,ZA,1699297945
78,Angaur State,6.906,134.13,28.65,69,11,0.7,PW,1699297945
79,Ust-Nera,64.5667,143.2,-23.9,98,98,1.68,RU,1699297945
80,Carauari,-4.8828,-66.8958,32.73,54,100,0.18,BR,1699297946
81,Rongelap,11.1635,166.8941,27.96,69,70,10.39,MH,1699297946
82,Tan-Tan,28.438,-11.1032,19.67,72,2,10.95,MA,1699297779
83,Balkanabat,39.5108,54.3671,20.09,29,1,3.9,TM,1699297757
84,San Luis de la Loma,17.2706,-100.8939,29.86,70,95,2.13,MX,1699297946
85,Along,28.1667,94.7667,14.24,73,40,0.85,IN,1699297947
86,Lebu,-37.6167,-73.65,12.48,93,100,6.97,CL,1699297790
87,Irymple,-34.25,142.1667,19.19,28,10,3.86,AU,1699297947
88,Greenville,35.6127,-77.3663,25.08,37,0,1.34,US,1699297912
89,Panauti̇̄,27.5814,85.5124,13.45,94,20,1.03,NP,1699297947
90,Tevriz,57.509,72.4042,-3.8,94,100,1.78,RU,1699297948
91,Jamestown,42.097,-79.2353,16.4,40,0,5.66,US,1699297948
92,Hinton,53.4001,-117.5857,4.55,71,100,1.56,CA,1699297948
93,George Town,5.4112,100.3354,27.23,89,20,1.54,MY,1699297948
94,Tuy Hoa,13.0833,109.3,25.1,91,100,2.58,VN,1699297948
95,Pacific Grove,36.6177,-121.9166,20.23,84,100,4.47,US,1699297949
96,Palāsa,18.7667,84.4167,24.5,79,100,1.82,IN,1699297949
97,Uray,60.1247,64.7758,-0.07,73,0,3.58,RU,1699297949
98,Kirakira,-10.4544,161.9205,25.56,89,100,3.45,SB,1699297950
99,Shangqiu,34.45,115.65,7.84,47,0,2.78,CN,1699297950
100,Rāhatgarh,23.7833,78.3667,22.42,38,100,0.84,IN,1699297950
101,Portland,45.5234,-122.6762,13.99,86,100,6.17,US,1699297127
102,San Gabriel,34.0961,-118.1058,27.42,42,0,0.89,US,1699297688
103,Fort McMurray,56.7268,-111.381,0.77,80,100,4.63,CA,1699297903
104,Abbeville,50.1,1.8333,10.98,92,79,4.11,FR,1699297951
105,Tura,25.5198,90.2201,17.78,84,0,1.45,IN,1699297951
106,Pereira Barreto,-20.6383,-51.1092,34.71,17,23,3.49,BR,1699297895
107,Kargil,34.5667,76.1,-0.99,47,100,1.36,IN,1699297951
108,Mount Isa,-20.7333,139.5,14.87,38,0,0.0,AU,1699297951
109,Margate,51.3813,1.3862,9.83,83,17,2.68,GB,1699297951
110,Afaahiti,-17.75,-149.2833,25.93,84,92,3.74,PF,1699297952
111,São Gabriel da Cachoeira,-0.1303,-67.0892,30.28,74,69,0.94,BR,1699297952
112,Iskateley,67.6803,53.1512,1.68,100,100,8.94,RU,1699297952
113,Longyearbyen,78.2186,15.6401,-14.09,72,40,3.6,SJ,1699297952
114,Tayshet,55.9342,98.0044,-6.3,85,100,2.99,RU,1699297952
115,Caleta de Carquín,-11.0925,-77.6267,21.55,72,48,4.37,PE,1699297953
116,Talnakh,69.4865,88.3972,-18.85,98,76,3.2,RU,1699297953
117,Kalabo,-14.97,22.6814,24.42,63,96,2.21,ZM,1699297953
118,Stanley,54.868,-1.6985,7.06,93,20,2.57,GB,1699297953
119,Wenxing,28.6667,112.8833,14.52,44,100,1.3,CN,1699297953
120,Acajutla,13.5928,-89.8275,28.5,78,100,2.43,SV,1699297954
121,Avarua,-21.2078,-159.775,23.03,60,40,4.63,CK,1699297954
122,Santa Cruz de la Sierra,-17.8,-63.1667,39.65,22,8,5.88,BO,1699297688
123,Vanino,49.0869,140.2543,-1.71,94,100,4.94,RU,1699297954
124,Chipinge,-20.1883,32.6236,20.6,50,71,3.0,ZW,1699297954
125,Bredasdorp,-34.5322,20.0403,15.76,72,3,4.28,ZA,1699297791
126,Uturoa,-16.7333,-151.4333,25.41,84,52,5.93,PF,1699297955
127,Praia da Vitória,38.7333,-27.0667,17.09,72,99,4.78,PT,1699297955
128,Horta,38.5333,-28.6333,17.8,71,40,7.6,PT,1699297956
129,Rémire-Montjoly,4.9167,-52.2667,32.02,62,20,6.69,GF,1699297956
130,Yellowknife,62.456,-114.3525,-5.71,86,100,6.17,CA,1699297956
131,Lompoc,34.6391,-120.4579,26.5,71,20,6.69,US,1699297956
132,Tucumã,-0.1833,-50.05,31.18,59,99,4.0,BR,1699297957
133,Thompson,55.7435,-97.8558,-5.11,44,28,3.38,CA,1699297896
134,Verbilki,56.5333,37.6,11.2,82,99,5.82,RU,1699297957
135,Bilibino,68.0546,166.4372,-24.29,99,26,2.32,RU,1699297809
136,Tondano,1.3038,124.9112,19.05,92,37,0.65,ID,1699297957
137,Mejit,10.2753,170.8646,28.27,70,100,8.74,MH,1699297958
138,Fort Bragg,35.139,-79.006,25.46,39,4,0.89,US,1699297958
139,Ilhabela,-23.7781,-45.3581,22.1,69,34,2.51,BR,1699297923
140,Esil,51.9556,66.4042,1.9,58,0,3.95,KZ,1699297959
141,Cabo San Lucas,22.8909,-109.9124,31.4,65,75,1.79,MX,1699297829
142,Homosassa Springs,28.8036,-82.5759,29.57,53,0,4.63,US,1699297959
143,Yeppoon,-23.1333,150.7333,19.88,71,32,7.83,AU,1699297895
144,Careiro da Várzea,-3.2003,-59.8119,34.89,44,93,0.77,BR,1699297960
145,Mikuni,36.2171,136.1519,17.53,81,100,9.56,JP,1699297960
146,Sola,-13.8833,167.55,26.46,79,100,10.04,VU,1699297960
147,Kasongo,-4.45,26.6667,20.28,98,100,1.21,CD,1699297960
148,Osa,57.2829,55.4567,2.16,88,99,3.28,RU,1699297960
149,Qaqortoq,60.7167,-46.0333,1.2,51,100,7.43,GL,1699297961
150,Port Lincoln,-34.7333,135.8667,12.27,87,0,3.81,AU,1699297961
151,Antsiranana,-12.2787,49.2917,25.49,79,7,7.33,MG,1699297961
152,Zemio,5.0314,25.1361,24.39,74,59,1.53,CF,1699297961
153,Mutuáli,-14.8706,37.0044,29.74,37,100,0.84,MZ,1699297961
154,São João da Barra,-21.6403,-41.0511,24.16,64,6,7.7,BR,1699297962
155,Port Mathurin,-19.6833,63.4167,24.68,79,5,3.99,MU,1699297962
156,Itaituba,-4.2761,-55.9836,30.38,61,96,0.97,BR,1699297962
157,Makokou,0.5738,12.8642,23.36,92,92,1.22,GA,1699297962
158,Prince Rupert,54.3161,-130.3201,8.83,98,100,4.63,CA,1699297908
159,Miranda,3.2499,-76.2281,25.02,78,87,0.35,CO,1699297804
160,Labrador City,52.9463,-66.9114,-5.05,63,75,6.69,CA,1699297963
161,Tabou,4.423,-7.3528,26.23,87,36,3.64,CI,1699297963
162,Ilulissat,69.2167,-51.1,-3.99,46,20,5.14,GL,1699297963
163,Ebaye,8.7748,167.7392,28.01,47,0,8.75,MH,1699297963
164,Harstad,68.799,16.5293,2.31,95,98,0.45,NO,1699297963
165,Clearwater,27.9659,-82.8001,28.95,48,0,2.57,US,1699297925
166,Itoman,26.1247,127.6694,25.22,83,100,10.29,JP,1699297964
167,Hamilton,39.1834,-84.5333,23.14,48,0,9.26,US,1699297946
168,Hithadhoo,-0.6,73.0833,27.07,81,72,3.85,MV,1699297964
169,Peace River,56.2501,-117.286,1.17,100,75,2.57,CA,1699297907
170,Shantobe,52.4581,68.1839,0.33,57,6,2.48,KZ,1699297964
171,Bandar Lampung,-5.4254,105.258,23.9,88,92,1.25,ID,1699297964
172,Nagqu Prefecture,31.5,92.0,-12.47,87,2,1.27,CN,1699297965
173,Trairi,-3.2778,-39.2689,29.21,58,13,6.16,BR,1699297938
174,Kakching,24.4833,93.9833,14.43,94,2,0.28,IN,1699297965
175,Wŏnju,37.3514,127.9453,4.21,78,100,6.56,KR,1699297965
176,Alaghsas,17.0187,8.0168,28.44,11,4,4.33,NE,1699297965
177,Hermanus,-34.4187,19.2345,16.54,75,2,6.78,ZA,1699297965
178,Benito Juarez,19.385,-99.165,24.19,36,0,1.54,MX,1699297795
179,Okahandja,-21.9833,16.9167,19.14,19,0,7.76,NA,1699297966
180,Baardheere,2.3446,42.2764,25.58,80,100,3.04,SO,1699297966
181,Paita,-5.0892,-81.1144,23.91,68,89,7.4,PE,1699297966
182,Rio Grande,-32.035,-52.0986,21.64,68,0,6.91,BR,1699297966
183,Wynyard,-41.0,145.7167,12.72,89,71,5.08,AU,1699297966
184,Hadibu,12.65,54.0333,26.49,77,54,2.58,YE,1699297967
185,Santiago,-33.4569,-70.6483,23.52,45,0,8.23,CL,1699297679
186,Santiago Acatlán,18.9833,-97.9167,21.9,42,12,3.32,MX,1699297967
187,Carnarvon,-24.8667,113.6333,20.66,83,100,8.24,AU,1699297967
188,Atafu Village,-8.5421,-172.5159,28.76,72,36,3.71,TK,1699297967
189,Tromsø,69.6496,18.957,1.01,93,100,3.09,NO,1699297967
190,Seshcha,53.7361,33.3387,8.46,90,93,6.02,RU,1699297968
191,Touros,-5.1989,-35.4608,28.45,63,99,5.98,BR,1699297968
192,Happy Valley-Goose Bay,53.3168,-60.3315,0.17,51,75,12.86,CA,1699297968
193,Geraldton,-28.7667,114.6,19.23,77,100,5.66,AU,1699297968
194,Khemisset,33.6667,-6.25,14.76,66,2,4.16,MA,1699297969
195,Venice,27.0998,-82.4543,28.99,47,0,4.63,US,1699297738
196,Anloga,5.7947,0.8973,27.75,82,51,4.54,GH,1699297969
197,Businga,3.3333,20.8833,23.26,95,69,0.65,CD,1699297969
198,Saint Paul Harbor,57.79,-152.4072,-4.27,74,0,3.09,US,1699297969
199,Greymouth,-42.4667,171.2,9.03,70,11,3.15,NZ,1699297888
200,Ancud,-41.8697,-73.8203,11.43,97,100,4.39,CL,1699297970
201,Vilyuysk,63.7553,121.6247,-17.22,93,93,3.58,RU,1699297970
202,Thinadhoo,0.5333,72.9333,27.25,79,100,3.4,MV,1699297970
203,Tazovsky,67.4667,78.7,-18.32,97,97,3.69,RU,1699297970
204,Ola,59.5833,151.2833,-14.33,78,0,4.8,RU,1699297970
205,Katsuren-haebaru,26.3369,127.8719,25.22,83,90,9.18,JP,1699297970
206,Rome,43.2128,-75.4557,10.6,66,100,5.66,US,1699297971
207,Sitka,57.0531,-135.33,4.94,81,100,6.17,US,1699297971
208,Marabu,4.4148,114.0089,24.83,89,100,1.61,MY,1699297971
209,Grande Prairie,55.1667,-118.8027,3.67,79,82,0.23,CA,1699297878
210,Okha,53.5739,142.9478,-8.04,81,90,3.06,RU,1699297971
211,Kapuskasing,49.4169,-82.4331,-0.95,86,100,6.17,CA,1699297802
212,Susuman,62.7833,148.1667,-23.59,95,96,0.43,RU,1699297971
213,Hola,51.5377,23.1902,10.1,74,86,6.03,PL,1699297972
214,Kabalo,-6.05,26.9167,20.65,98,100,0.84,CD,1699297972
215,Katsuura,35.1333,140.3,22.91,83,100,14.09,JP,1699297972
216,Lázaro Cárdenas,17.9583,-102.2,29.96,67,11,3.13,MX,1699297755
217,Tazacorte,28.629,-17.9293,20.64,79,75,5.66,ES,1699297972
218,Ōme,35.7839,139.2431,22.14,82,100,4.61,JP,1699297973
219,Kamina,-8.7386,24.9906,18.46,89,100,1.11,CD,1699297973
220,Daru,-9.0763,143.2092,24.99,81,66,4.56,PG,1699297973
221,East Ballina,-28.8667,153.5833,13.78,81,55,1.41,AU,1699297912
222,Boysun,38.2061,67.1986,14.72,36,99,1.55,UZ,1699297973
223,Errachidia,31.9275,-4.4285,20.03,42,40,7.72,MA,1699297973
224,Lampazos de Naranjo,27.0167,-100.5167,27.99,37,100,2.76,MX,1699297974
225,Podgornoye,51.735,39.1496,10.36,93,0,3.0,RU,1699297974
226,Legnago,45.1832,11.3091,13.75,90,5,2.37,IT,1699297974
227,Akureyri,65.6835,-18.0878,-0.04,86,75,2.57,IS,1699297974
228,Keflavik,64.0049,-22.5624,3.24,81,75,7.72,IS,1699297974
229,Pustoshka,56.3355,29.369,7.35,94,100,3.2,RU,1699297974
230,Dolores,-36.3132,-57.6792,25.91,38,0,6.34,AR,1699297975
231,Biltine,14.5333,20.9167,30.04,16,68,4.29,TD,1699297975
232,Sake,-1.5736,29.045,17.47,94,100,0.59,CD,1699297975
233,Menongue,-14.6585,17.691,18.12,85,75,4.31,AO,1699297975
234,Chui,-33.6971,-53.4616,20.27,61,0,5.51,UY,1699297975
235,Massawa,15.6097,39.45,30.36,61,86,1.82,ER,1699297975
236,Maroantsetra,-15.4333,49.7333,23.96,87,36,2.1,MG,1699297976
237,Castillos,-34.1667,-53.8333,20.35,61,0,5.56,UY,1699297976
238,Farasān,16.7022,42.1183,29.82,69,100,1.72,SA,1699297976
239,Zaozhuang,34.8647,117.5542,6.89,34,0,0.62,CN,1699297725
240,Nema,57.5067,50.5011,5.28,83,100,5.15,RU,1699297976
241,Al Arţāwīyah,26.5053,45.3444,23.02,39,0,3.15,SA,1699297976
242,Saipan,15.1355,145.701,27.39,83,0,4.63,MP,1699297977
243,Nguigmi,14.2495,13.1092,28.75,18,27,5.55,NE,1699297977
244,Knyaze-Volkonskoye,48.4642,135.4567,-5.0,60,100,3.58,RU,1699297977
245,Dwārka,22.2394,68.9678,28.15,50,6,4.38,IN,1699297977
246,Nampula,-15.1165,39.2666,24.99,71,0,4.28,MZ,1699297977
247,Manismata,-2.4667,111.0333,23.49,94,100,0.7,ID,1699297978
248,Lihue,21.9789,-159.3672,26.58,92,100,9.77,US,1699297978
249,Pandan,14.0453,124.1694,27.14,87,99,4.61,PH,1699297978
250,Vila Velha,-20.3297,-40.2925,23.86,70,0,6.26,BR,1699297950
251,Saint-Pol-de-Léon,48.6833,-3.9833,11.48,76,42,3.58,FR,1699297978
252,Sisimiut,66.9395,-53.6735,-3.91,65,100,4.17,GL,1699297978
253,Enewetak,11.3474,162.3373,28.49,76,92,8.83,MH,1699297894
254,Kyren,51.6828,102.1408,-10.03,93,100,0.89,RU,1699297979
255,Myeik,12.4333,98.6,25.26,89,100,1.54,MM,1699297694
256,Tofol,5.3248,163.0078,28.11,78,100,6.69,FM,1699297979
257,Alo,7.4178,6.7371,26.69,83,100,1.8,NG,1699297979
258,Augusto Corrêa,-1.0217,-46.635,30.42,59,100,4.06,BR,1699297979
259,Mashhad,36.297,59.6062,15.08,63,0,0.0,IR,1699297980
260,Burumburum,11.3911,8.7234,29.33,19,100,3.22,NG,1699297980
261,Khanu Woralaksaburi,16.0617,99.8606,24.92,91,76,1.4,TH,1699297980
262,Howard Springs,-12.497,131.047,26.95,88,99,2.8,AU,1699297980
263,Thunder Bay,48.4001,-89.3168,0.58,91,100,4.75,CA,1699297705
264,Bridgewater,44.3835,-64.5155,7.04,46,80,1.79,CA,1699297857
265,Sibay,52.7181,58.6658,1.79,83,13,2.68,RU,1699297981
266,Carolina Beach,34.0352,-77.8936,26.03,51,0,1.34,US,1699297982
267,Lorengau,-2.0226,147.2712,27.28,81,97,2.64,PG,1699297982
268,Hasaki,35.7333,140.8333,23.22,79,100,15.66,JP,1699297982
269,Waingapu,-9.6567,120.2641,25.7,82,13,0.54,ID,1699297983
270,Constanța,44.1833,28.65,16.38,64,2,4.46,RO,1699297710
271,Mossel Bay,-34.1831,22.146,17.03,80,100,1.49,ZA,1699297983
272,Salinópolis,-0.6136,-47.3561,29.28,72,57,5.89,BR,1699297972
273,Lüderitz,-26.6481,15.1594,15.68,84,0,4.66,NA,1699297984
274,Dzhalagash,45.0833,64.6667,10.29,52,100,7.24,KZ,1699297984
275,Sarmiento,-45.5882,-69.07,20.62,24,100,11.23,AR,1699297984
276,Zaozërsk,69.4005,32.4476,-2.06,97,96,1.6,RU,1699297985
277,Tamanghasset,22.785,5.5228,21.95,11,0,2.57,DZ,1699297918
278,Sinabang,2.4803,96.3801,25.59,88,100,2.16,ID,1699297985
279,Utrik,11.2278,169.8474,28.11,67,100,9.76,MH,1699297985
280,Chonchi,-42.6128,-73.8092,12.84,98,100,2.13,CL,1699297986
281,Rizokárpaso,35.6,34.375,23.23,72,0,3.81,CY,1699297986
282,Vorgashor,67.5833,63.95,-4.09,96,100,6.15,RU,1699297986
283,Udachny,66.4167,112.4,-19.01,100,100,1.52,RU,1699297986
284,Maksatikha,57.797,35.8825,8.51,96,100,3.2,RU,1699297987
285,Haiku-Pauwela,20.9219,-156.3051,27.25,58,0,8.23,US,1699297987
286,Kumul,42.8,93.45,2.55,23,14,3.82,CN,1699297987
287,Las Palmas,28.4204,-14.0131,19.44,64,20,11.32,ES,1699297987
288,Hirara,24.8,125.2833,24.51,81,100,12.1,JP,1699297988
289,Caxias,38.7031,-9.2767,14.71,74,0,1.54,PT,1699297988
290,Dvinskoy Bereznik,62.8551,42.7072,1.37,100,100,1.44,RU,1699297988
